CustomerID,Segment,churn_prediction,marketing_action
105,Recent Low-Spenders,0,Upsell: Bundle Offer
106,Recent Low-Spenders,0,Upsell: Bundle Offer
107,At-Risk,1,Reactivation Email + Big Discount
108,Recent Low-Spenders,0,Upsell: Bundle Offer
109,Recent Low-Spenders,0,Upsell: Bundle Offer
110,At-Risk,1,Reactivation Email + Big Discount
111,Recent Low-Spenders,0,Upsell: Bundle Offer
112,Recent Low-Spenders,0,Upsell: Bundle Offer
113,Recent Low-Spenders,0,Upsell: Bundle Offer
114,Recent Low-Spenders,0,Upsell: Bundle Offer
115,At-Risk,1,Reactivation Email + Big Discount
116,Recent Low-Spenders,0,Upsell: Bundle Offer
117,Recent Low-Spenders,0,Upsell: Bundle Offer
118,At-Risk,1,Reactivation Email + Big Discount
119,Recent Low-Spenders,0,Upsell: Bundle Offer
120,Recent Low-Spenders,0,Upsell: Bundle Offer
121,At-Risk,1,Reactivation Email + Big Discount
122,Recent Low-Spenders,0,Upsell: Bundle Offer
123,At-Risk,1,Reactivation Email + Big Discount
124,Recent Low-Spenders,0,Upsell: Bundle Offer
125,Recent Low-Spenders,0,Upsell: Bundle Offer
126,Recent Low-Spenders,0,Upsell: Bundle Offer
127,Recent Low-Spenders,0,Upsell: Bundle Offer
128,Recent Low-Spenders,0,Upsell: Bundle Offer
129,Recent Low-Spenders,0,Upsell: Bundle Offer
130,At-Risk,1,Reactivation Email + Big Discount
131,Recent Low-Spenders,0,Upsell: Bundle Offer
132,At-Risk,1,Reactivation Email + Big Discount
133,Recent Low-Spenders,0,Upsell: Bundle Offer
134,At-Risk,1,Reactivation Email + Big Discount
135,At-Risk,1,Reactivation Email + Big Discount
136,Recent Low-Spenders,0,Upsell: Bundle Offer
137,Recent Low-Spenders,0,Upsell: Bundle Offer
138,Recent Low-Spenders,0,Upsell: Bundle Offer
139,Recent Low-Spenders,0,Upsell: Bundle Offer
140,Recent Low-Spenders,0,Upsell: Bundle Offer
141,At-Risk,1,Reactivation Email + Big Discount
142,Recent Low-Spenders,0,Upsell: Bundle Offer
143,At-Risk,1,Reactivation Email + Big Discount
144,Recent Low-Spenders,0,Upsell: Bundle Offer
145,At-Risk,1,Reactivation Email + Big Discount
146,At-Risk,1,Reactivation Email + Big Discount
147,Recent Low-Spenders,0,Upsell: Bundle Offer
148,Recent Low-Spenders,0,Upsell: Bundle Offer
149,At-Risk,1,Reactivation Email + Big Discount
150,At-Risk,1,Reactivation Email + Big Discount
151,At-Risk,1,Reactivation Email + Big Discount
152,Recent Low-Spenders,0,Upsell: Bundle Offer
153,At-Risk,1,Reactivation Email + Big Discount
154,At-Risk,1,Reactivation Email + Big Discount
155,Recent Low-Spenders,0,Upsell: Bundle Offer
156,At-Risk,1,Reactivation Email + Big Discount
157,At-Risk,1,Reactivation Email + Big Discount
158,Recent Low-Spenders,0,Upsell: Bundle Offer
159,Recent Low-Spenders,0,Upsell: Bundle Offer
160,At-Risk,1,Reactivation Email + Big Discount
161,Recent Low-Spenders,0,Upsell: Bundle Offer
162,Recent Low-Spenders,0,Upsell: Bundle Offer
163,At-Risk,1,Reactivation Email + Big Discount
164,Recent Low-Spenders,0,Upsell: Bundle Offer
165,At-Risk,1,Reactivation Email + Big Discount
166,Recent Low-Spenders,0,Upsell: Bundle Offer
167,At-Risk,1,Reactivation Email + Big Discount
168,Recent Low-Spenders,0,Upsell: Bundle Offer
169,At-Risk,1,Reactivation Email + Big Discount
170,Recent Low-Spenders,0,Upsell: Bundle Offer
171,At-Risk,1,Reactivation Email + Big Discount
172,Recent Low-Spenders,0,Upsell: Bundle Offer
173,Recent Low-Spenders,0,Upsell: Bundle Offer
174,At-Risk,1,Reactivation Email + Big Discount
175,Recent Low-Spenders,0,Upsell: Bundle Offer
176,Recent Low-Spenders,0,Upsell: Bundle Offer
177,At-Risk,1,Reactivation Email + Big Discount
178,At-Risk,1,Reactivation Email + Big Discount
179,Loyal Customers,0,Loyalty Bonus + Referral Code
180,At-Risk,1,Reactivation Email + Big Discount
181,At-Risk,1,Reactivation Email + Big Discount
182,Recent Low-Spenders,0,Upsell: Bundle Offer
183,At-Risk,1,Reactivation Email + Big Discount
184,At-Risk,1,Reactivation Email + Big Discount
185,At-Risk,1,Reactivation Email + Big Discount
186,Recent Low-Spenders,0,Upsell: Bundle Offer
187,At-Risk,1,Reactivation Email + Big Discount
188,Recent Low-Spenders,0,Upsell: Bundle Offer
189,Recent Low-Spenders,0,Upsell: Bundle Offer
190,Loyal Customers,0,Loyalty Bonus + Referral Code
191,Recent Low-Spenders,0,Upsell: Bundle Offer
192,Recent Low-Spenders,0,Upsell: Bundle Offer
193,At-Risk,1,Reactivation Email + Big Discount
194,Recent Low-Spenders,0,Upsell: Bundle Offer
195,At-Risk,1,Reactivation Email + Big Discount
196,Recent Low-Spenders,0,Upsell: Bundle Offer
197,At-Risk,1,Reactivation Email + Big Discount
198,Recent Low-Spenders,0,Upsell: Bundle Offer
199,Recent Low-Spenders,0,Upsell: Bundle Offer
200,Recent Low-Spenders,0,Upsell: Bundle Offer
201,Recent Low-Spenders,0,Upsell: Bundle Offer
